jdate,labelProb
1388-02-15,0.8340711260502328
1388-02-16,0.843348641626377
1388-03-16,0.9180395279278745
1388-03-17,0.8969973273007482
1388-03-18,0.8187543724501518
1388-03-19,0.7803620707264968
1388-03-20,0.8970469260942562
1388-03-23,0.9069448207886303
1388-03-24,0.6138725671305806
1388-04-02,0.594826090154505
1388-04-03,0.5649229578112757
1388-04-06,0.5609359644395293
1388-04-07,0.5138015212799821
1388-04-08,0.5101170845588583
1388-04-09,0.5016613465178414
1388-04-10,0.5132701751117893
1388-04-13,0.4626213033127725
1388-04-14,0.49727752737955894
1388-04-16,0.5036807564719012
1388-04-20,0.5230517501240731
1388-04-21,0.5324256551548919
1388-04-22,0.5280601370399484
1388-04-23,0.5563981131699925
1388-04-24,0.6469042344922677
1388-04-27,0.6972740361691304
1388-04-28,0.695314355965061
1388-04-30,0.6649343180302225
1388-04-31,0.7087367820890769
1388-05-03,0.7357750269431874
1388-05-04,0.7102565131690965
1388-05-05,0.6711254479160044
1388-05-06,0.6925225948905211
1388-05-07,0.7246591286247911
1388-05-10,0.717660272871308
1388-05-11,0.8024893067655255
1388-05-12,0.7404055036301436
1388-05-13,0.7471188917820858
1388-05-14,0.7586626015451883
1388-05-17,0.8313107615722175
1388-05-18,0.9102519724637498
1388-05-19,0.9166215654771444
1388-05-20,0.8602989570837966
1388-05-21,0.9150713763900699
1388-05-24,0.9102176785311762
1388-05-25,0.8486595377430222
1388-05-26,0.9080035401104253
1388-05-27,0.9182749527949973
1388-05-28,0.91489782056251
1388-05-31,0.8240864596754675
1388-06-01,0.9211401544649458
1388-06-02,0.8728271876239306
1388-06-03,0.9057521831611388
1388-06-04,0.9166321009293724
1388-06-07,0.7395241377105282
1388-06-08,0.7032681552787045
1388-06-09,0.6127423917534656
1388-06-10,0.7182708474547999
1388-06-11,0.7212306601359924
1388-06-14,0.5965109915273885
1388-06-15,0.5792197322482069
1388-06-16,0.559788256991332
1388-06-17,0.5844865001649115
1388-06-18,0.6510951418182943
1388-06-22,0.779663753849162
1388-06-23,0.7470505467087141
1388-06-28,0.7285361409675555
1388-06-30,0.7383688206497636
1388-06-31,0.874324450502225
1388-07-01,0.8706730046696165
1388-07-04,0.6577005951193108
