value,date
12325.4,2009-11-16
12241.9,2009-11-17
12176.4,2009-11-18
12086.7,2009-11-21
12003.0,2009-11-22
11996.3,2009-11-23
12072.6,2009-11-24
12113.4,2009-11-25
12027.6,2009-11-29
11964.9,2009-11-30
11928.9,2009-12-01
11914.6,2009-12-02
11905.0,2009-12-05
11944.5,2009-12-07
11909.6,2009-12-08
11836.3,2009-12-09
11753.1,2009-12-12
11677.4,2009-12-13
11629.1,2009-12-14
11362.5,2009-12-15
11265.3,2009-12-16
11209.6,2009-12-19
11255.7,2009-12-20
11274.9,2009-12-21
11234.6,2009-12-22
11221.3,2009-12-23
11196.9,2009-12-28
11178.5,2009-12-29
11207.5,2009-12-30
11295.2,2010-01-02
11351.1,2010-01-03
11305.1,2010-01-04
11307.4,2010-01-05
11375.4,2010-01-06
11449.6,2010-01-09
11592.3,2010-01-10
11656.8,2010-01-11
11646.2,2010-01-12
11599.9,2010-01-13
11614.9,2010-01-16
11620.7,2010-01-17
11584.0,2010-01-18
11569.2,2010-01-19
11569.2,2010-01-20
11617.8,2010-01-23
11684.9,2010-01-24
11705.1,2010-01-25
11752.5,2010-01-26
11802.9,2010-01-27
11750.1,2010-01-30
11724.7,2010-01-31
11709.6,2010-02-01
11721.3,2010-02-02
11751.7,2010-02-03
11715.5,2010-02-06
11686.3,2010-02-07
11666.8,2010-02-08
11660.7,2010-02-09
11694.1,2010-02-10
11760.0,2010-02-14
11789.7,2010-02-16
11774.2,2010-02-17
11819.0,2010-02-20
11929.0,2010-02-21
12008.6,2010-02-22
12010.2,2010-02-23
11993.2,2010-02-24
11963.5,2010-02-27
12009.0,2010-02-28
12048.9,2010-03-01
12111.1,2010-03-02
12133.4,2010-03-03
12221.3,2010-03-06
12248.9,2010-03-07
12307.2,2010-03-08
12429.1,2010-03-09
12446.8,2010-03-10
12440.5,2010-03-13
12549.1,2010-03-14
12533.6,2010-03-15
12499.7,2010-03-16
12536.7,2010-03-17
12613.9,2010-03-27
12732.1,2010-03-28
12823.9,2010-03-29
12867.0,2010-03-30
12945.0,2010-03-31
13135.7,2010-04-03
13320.1,2010-04-04
13317.0,2010-04-05
13476.5,2010-04-06
13681.2,2010-04-07
13754.0,2010-04-10
13802.6,2010-04-11
13832.8,2010-04-12
13904.0,2010-04-13
13903.4,2010-04-14
13815.7,2010-04-17
13935.0,2010-04-18
14138.3,2010-04-19
14185.7,2010-04-20
14129.2,2010-04-21
14079.9,2010-04-24
14053.3,2010-04-25
14129.0,2010-04-26
14139.4,2010-04-27
14012.5,2010-04-28
14136.7,2010-05-01
14085.9,2010-05-02
14012.6,2010-05-03
14036.7,2010-05-04
13944.8,2010-05-05
