jdate,value,date
1388-05-25,10333.2,2009-08-16
1388-05-26,10405.4,2009-08-17
1388-05-27,10442.5,2009-08-18
1388-05-28,10472.4,2009-08-19
1388-05-31,10555.4,2009-08-22
1388-06-01,10612.2,2009-08-23
1388-06-02,10686.1,2009-08-24
1388-06-03,10983.6,2009-08-25
1388-06-04,11576.9,2009-08-26
1388-06-07,11734.4,2009-08-29
1388-06-08,11693.5,2009-08-30
1388-06-09,11688.3,2009-08-31
1388-06-10,11741.0,2009-09-01
1388-06-11,11747.2,2009-09-02
1388-06-14,11678.5,2009-09-05
1388-06-15,11634.5,2009-09-06
1388-06-16,11589.7,2009-09-07
1388-06-17,11639.0,2009-09-08
1388-06-18,11696.5,2009-09-09
1388-06-21,11696.5,2009-09-12
1388-06-22,11638.4,2009-09-13
1388-06-23,11598.7,2009-09-14
1388-06-24,11523.6,2009-09-15
1388-06-25,11461.1,2009-09-16
1388-06-28,11437.0,2009-09-19
1388-06-29,11437.0,2009-09-20
1388-06-30,11451.8,2009-09-21
1388-06-31,11479.8,2009-09-22
1388-07-01,11583.0,2009-09-23
1388-07-04,11620.4,2009-09-26
1388-07-05,11588.2,2009-09-27
1388-07-06,11559.1,2009-09-28
1388-07-07,11555.0,2009-09-29
1388-07-08,11535.8,2009-09-30
1388-07-11,11657.3,2009-10-03
1388-07-12,11717.3,2009-10-04
1388-07-13,11738.2,2009-10-05
1388-07-14,11792.8,2009-10-06
1388-07-15,11891.1,2009-10-07
1388-07-18,11957.9,2009-10-10
1388-07-19,11925.4,2009-10-11
1388-07-20,11912.3,2009-10-12
1388-07-21,11918.3,2009-10-13
1388-07-25,11917.8,2009-10-17
1388-07-26,11914.1,2009-10-18
1388-07-27,11976.4,2009-10-19
1388-07-28,12077.3,2009-10-20
1388-07-29,12176.3,2009-10-21
1388-08-02,12242.8,2009-10-24
1388-08-03,12325.8,2009-10-25
1388-08-04,12342.6,2009-10-26
1388-08-05,12345.1,2009-10-27
1388-08-06,12408.4,2009-10-28
1388-08-09,12482.4,2009-10-31
1388-08-10,12545.0,2009-11-01
1388-08-11,12529.5,2009-11-02
1388-08-12,12483.6,2009-11-03
1388-08-13,12506.0,2009-11-04
1388-08-16,12576.9,2009-11-07
1388-08-17,12565.9,2009-11-08
1388-08-18,12581.5,2009-11-09
1388-08-19,12426.1,2009-11-10
1388-08-20,12381.4,2009-11-11
1388-08-23,12403.1,2009-11-14
1388-08-24,12361.7,2009-11-15
1388-08-25,12325.4,2009-11-16
1388-08-26,12241.9,2009-11-17
1388-08-27,12176.4,2009-11-18
1388-08-30,12086.7,2009-11-21
1388-09-01,12003.0,2009-11-22
1388-09-02,11996.3,2009-11-23
1388-09-03,12072.6,2009-11-24
1388-09-04,12113.4,2009-11-25
1388-09-08,12027.6,2009-11-29
1388-09-09,11964.9,2009-11-30
1388-09-10,11928.9,2009-12-01
1388-09-11,11914.6,2009-12-02
1388-09-14,11905.0,2009-12-05
1388-09-16,11944.5,2009-12-07
1388-09-17,11909.6,2009-12-08
1388-09-18,11836.3,2009-12-09
1388-09-21,11753.1,2009-12-12
1388-09-22,11677.4,2009-12-13
1388-09-23,11629.1,2009-12-14
1388-09-24,11362.5,2009-12-15
1388-09-25,11265.3,2009-12-16
1388-09-28,11209.6,2009-12-19
1388-09-29,11255.7,2009-12-20
1388-09-30,11274.9,2009-12-21
1388-10-01,11234.6,2009-12-22
1388-10-02,11221.3,2009-12-23
1388-10-07,11196.9,2009-12-28
1388-10-08,11178.5,2009-12-29
1388-10-09,11207.5,2009-12-30
1388-10-12,11295.2,2010-01-02
1388-10-13,11351.1,2010-01-03
1388-10-14,11305.1,2010-01-04
1388-10-15,11307.4,2010-01-05
1388-10-16,11375.4,2010-01-06
1388-10-19,11449.6,2010-01-09
1388-10-20,11592.3,2010-01-10
1388-10-21,11656.8,2010-01-11
1388-10-22,11646.2,2010-01-12
1388-10-23,11599.9,2010-01-13
1388-10-26,11614.9,2010-01-16
1388-10-27,11620.7,2010-01-17
1388-10-28,11584.0,2010-01-18
1388-10-29,11569.2,2010-01-19
1388-10-30,11569.2,2010-01-20
1388-11-03,11617.8,2010-01-23
1388-11-04,11684.9,2010-01-24
1388-11-05,11705.1,2010-01-25
1388-11-06,11752.5,2010-01-26
1388-11-07,11802.9,2010-01-27
1388-11-10,11750.1,2010-01-30
1388-11-11,11724.7,2010-01-31
1388-11-12,11709.6,2010-02-01
1388-11-13,11721.3,2010-02-02
1388-11-14,11751.7,2010-02-03
1388-11-17,11715.5,2010-02-06
1388-11-18,11686.3,2010-02-07
1388-11-19,11666.8,2010-02-08
1388-11-20,11660.7,2010-02-09
1388-11-21,11694.1,2010-02-10
1388-11-25,11760.0,2010-02-14
1388-11-27,11789.7,2010-02-16
1388-11-28,11774.2,2010-02-17
1388-12-01,11819.0,2010-02-20
1388-12-02,11929.0,2010-02-21
1388-12-03,12008.6,2010-02-22
1388-12-04,12010.2,2010-02-23
1388-12-05,11993.2,2010-02-24
1388-12-08,11963.5,2010-02-27
1388-12-09,12009.0,2010-02-28
1388-12-10,12048.9,2010-03-01
1388-12-11,12111.1,2010-03-02
1388-12-12,12133.4,2010-03-03
1388-12-15,12221.3,2010-03-06
1388-12-16,12248.9,2010-03-07
1388-12-17,12307.2,2010-03-08
1388-12-18,12429.1,2010-03-09
1388-12-19,12446.8,2010-03-10
1388-12-22,12440.5,2010-03-13
1388-12-23,12549.1,2010-03-14
1388-12-24,12533.6,2010-03-15
1388-12-25,12499.7,2010-03-16
1388-12-26,12536.7,2010-03-17
1389-01-07,12613.9,2010-03-27
1389-01-08,12732.1,2010-03-28
1389-01-09,12823.9,2010-03-29
1389-01-10,12867.0,2010-03-30
1389-01-11,12945.0,2010-03-31
1389-01-14,13135.7,2010-04-03
1389-01-15,13320.1,2010-04-04
1389-01-16,13317.0,2010-04-05
1389-01-17,13476.5,2010-04-06
1389-01-18,13681.2,2010-04-07
1389-01-21,13754.0,2010-04-10
1389-01-22,13802.6,2010-04-11
1389-01-23,13832.8,2010-04-12
1389-01-24,13904.0,2010-04-13
1389-01-25,13903.4,2010-04-14
1389-01-28,13815.7,2010-04-17
1389-01-29,13935.0,2010-04-18
1389-01-30,14138.3,2010-04-19
1389-01-31,14185.7,2010-04-20
1389-02-01,14129.2,2010-04-21
1389-02-04,14079.9,2010-04-24
1389-02-05,14053.3,2010-04-25
1389-02-06,14129.0,2010-04-26
1389-02-07,14139.4,2010-04-27
1389-02-08,14012.5,2010-04-28
1389-02-11,14136.7,2010-05-01
1389-02-12,14085.9,2010-05-02
1389-02-13,14012.6,2010-05-03
1389-02-14,14036.7,2010-05-04
1389-02-15,13944.8,2010-05-05
1389-02-18,13920.5,2010-05-08
1389-02-19,14014.3,2010-05-09
1389-02-20,14099.5,2010-05-10
1389-02-21,14131.7,2010-05-11
1389-02-22,14105.3,2010-05-12
1389-02-25,14096.1,2010-05-15
1389-02-26,14138.8,2010-05-16
1389-02-28,14156.7,2010-05-18
1389-02-29,14155.6,2010-05-19
1389-03-01,14117.2,2010-05-22
1389-03-02,14080.5,2010-05-23
1389-03-03,14115.5,2010-05-24
1389-03-04,14184.3,2010-05-25
1389-03-05,14153.8,2010-05-26
1389-03-08,14119.9,2010-05-29
1389-03-09,14087.6,2010-05-30
1389-03-10,14038.3,2010-05-31
1389-03-11,14109.0,2010-06-01
1389-03-12,14182.4,2010-06-02
1389-03-16,14164.7,2010-06-06
1389-03-17,14135.3,2010-06-07
1389-03-18,14148.8,2010-06-08
1389-03-19,14055.1,2010-06-09
1389-03-22,14114.9,2010-06-12
1389-03-23,14180.3,2010-06-13
1389-03-24,14288.5,2010-06-14
1389-03-25,14394.2,2010-06-15
1389-03-26,14372.0,2010-06-16
1389-03-29,14340.6,2010-06-19
1389-03-30,14280.9,2010-06-20
1389-03-31,14257.0,2010-06-21
1389-04-01,14350.6,2010-06-22
1389-04-02,14489.4,2010-06-23
1389-04-06,14503.0,2010-06-27
1389-04-07,14500.9,2010-06-28
1389-04-08,14545.3,2010-06-29
1389-04-09,14552.3,2010-06-30
1389-04-12,14561.1,2010-07-03
1389-04-13,14504.2,2010-07-04
1389-04-14,14553.2,2010-07-05
1389-04-15,14571.6,2010-07-06
1389-04-16,14718.8,2010-07-07
1389-04-20,14883.4,2010-07-11
1389-04-21,14981.5,2010-07-12
1389-04-22,15005.9,2010-07-13
1389-04-23,15080.4,2010-07-14
1389-04-26,15118.0,2010-07-17
1389-04-27,15189.0,2010-07-18
1389-04-28,15244.8,2010-07-19
1389-04-29,15344.6,2010-07-20
1389-04-30,15360.7,2010-07-21
1389-05-02,15455.4,2010-07-24
1389-05-03,15660.9,2010-07-25
1389-05-04,15746.5,2010-07-26
1389-05-06,15794.1,2010-07-28
1389-05-09,15840.5,2010-07-31
1389-05-10,15870.0,2010-08-01
1389-05-11,16078.1,2010-08-02
1389-05-12,16281.7,2010-08-03
1389-05-13,16317.9,2010-08-04
1389-05-16,16606.1,2010-08-07
1389-05-17,16625.9,2010-08-08
1389-05-18,16674.4,2010-08-09
1389-05-19,16841.4,2010-08-10
1389-05-20,16995.1,2010-08-11
1389-05-23,16864.6,2010-08-14
1389-05-24,16701.1,2010-08-15
1389-05-25,16766.9,2010-08-16
1389-05-26,16910.8,2010-08-17
1389-05-27,17009.6,2010-08-18
1389-05-30,16974.6,2010-08-21
1389-05-31,16957.6,2010-08-22
1389-06-01,17116.7,2010-08-23
1389-06-02,17152.7,2010-08-24
1389-06-03,17233.1,2010-08-25
1389-06-06,17401.0,2010-08-28
1389-06-07,17767.8,2010-08-29
1389-06-08,17938.0,2010-08-30
1389-06-09,17955.7,2010-08-31
1389-06-13,18315.8,2010-09-04
1389-06-14,18636.1,2010-09-05
1389-06-15,18648.2,2010-09-06
1389-06-16,18458.9,2010-09-07
1389-06-17,18429.6,2010-09-08
1389-06-21,18533.4,2010-09-12
1389-06-22,18533.7,2010-09-13
1389-06-23,18543.1,2010-09-14
1389-06-24,18555.7,2010-09-15
