jdate,value,date
1390-09-26,24528.3,2011-12-17
1390-09-27,24604.0,2011-12-18
1390-09-28,24638.2,2011-12-19
1390-09-29,24588.5,2011-12-20
1390-09-30,24494.0,2011-12-21
1390-10-03,24456.7,2011-12-24
1390-10-04,24455.1,2011-12-25
1390-10-05,24377.3,2011-12-26
1390-10-06,24327.2,2011-12-27
1390-10-07,24320.8,2011-12-28
1390-10-10,24403.1,2011-12-31
1390-10-11,24400.9,2012-01-01
1390-10-12,24323.7,2012-01-02
1390-10-13,24507.0,2012-01-03
1390-10-14,24839.1,2012-01-04
1390-10-17,24887.9,2012-01-07
1390-10-18,24854.9,2012-01-08
1390-10-19,25082.7,2012-01-09
1390-10-20,25207.4,2012-01-10
1390-10-21,25440.3,2012-01-11
1390-10-25,25755.3,2012-01-15
1390-10-26,25903.4,2012-01-16
1390-10-27,25692.8,2012-01-17
1390-10-28,25811.2,2012-01-18
1390-11-01,25772.3,2012-01-21
1390-11-03,25620.7,2012-01-23
1390-11-05,25540.5,2012-01-25
1390-11-08,25723.0,2012-01-28
1390-11-09,25931.3,2012-01-29
1390-11-10,25912.9,2012-01-30
1390-11-11,25913.8,2012-01-31
1390-11-12,25878.2,2012-02-01
1390-11-15,25907.0,2012-02-04
1390-11-16,25717.6,2012-02-05
1390-11-17,25579.8,2012-02-06
1390-11-18,25436.6,2012-02-07
1390-11-19,25371.7,2012-02-08
1390-11-23,25320.7,2012-02-12
1390-11-24,25279.8,2012-02-13
1390-11-25,24946.4,2012-02-14
1390-11-26,24829.3,2012-02-15
1390-11-29,24848.9,2012-02-18
1390-11-30,24878.3,2012-02-19
1390-12-01,24923.2,2012-02-20
1390-12-02,25035.2,2012-02-21
1390-12-03,25012.6,2012-02-22
1390-12-06,24936.1,2012-02-25
1390-12-07,24976.9,2012-02-26
1390-12-08,25098.4,2012-02-27
1390-12-09,25244.4,2012-02-28
1390-12-10,25354.5,2012-02-29
1390-12-13,25365.5,2012-03-03
1390-12-14,25417.9,2012-03-04
1390-12-15,25320.1,2012-03-05
1390-12-16,25307.9,2012-03-06
1390-12-17,25400.2,2012-03-07
1390-12-20,25457.6,2012-03-10
1390-12-21,25491.1,2012-03-11
1390-12-22,25300.0,2012-03-12
1390-12-23,25265.3,2012-03-13
1390-12-24,25481.5,2012-03-14
1390-12-27,25607.2,2012-03-17
1390-12-28,25905.6,2012-03-18
1391-01-05,26280.5,2012-03-24
1391-01-06,26502.3,2012-03-25
1391-01-07,26408.7,2012-03-26
1391-01-08,26533.0,2012-03-27
1391-01-09,26576.2,2012-03-28
1391-01-14,26484.8,2012-04-02
1391-01-15,26327.0,2012-04-03
1391-01-16,26300.3,2012-04-04
1391-01-19,26383.4,2012-04-07
1391-01-20,26491.8,2012-04-08
1391-01-21,26482.6,2012-04-09
1391-01-22,26664.1,2012-04-10
1391-01-23,26757.8,2012-04-11
1391-01-26,26896.8,2012-04-14
1391-01-27,27281.2,2012-04-15
1391-01-28,27245.6,2012-04-16
1391-01-29,27185.6,2012-04-17
1391-01-30,27259.9,2012-04-18
1391-02-02,27211.7,2012-04-21
1391-02-03,27169.3,2012-04-22
1391-02-04,27085.3,2012-04-23
1391-02-05,27129.9,2012-04-24
1391-02-09,27010.1,2012-04-28
1391-02-10,26953.8,2012-04-29
1391-02-11,26960.0,2012-04-30
1391-02-12,26969.8,2012-05-01
1391-02-13,26964.8,2012-05-02
1391-02-16,26935.7,2012-05-05
1391-02-17,26932.2,2012-05-06
1391-02-18,26886.3,2012-05-07
1391-02-19,26870.5,2012-05-08
1391-02-20,26871.9,2012-05-09
1391-02-23,26743.8,2012-05-12
1391-02-24,26658.0,2012-05-13
1391-02-25,26715.2,2012-05-14
1391-02-26,26677.3,2012-05-15
1391-02-27,26652.6,2012-05-16
1391-02-30,26652.1,2012-05-19
1391-02-31,26667.7,2012-05-20
1391-03-01,26845.8,2012-05-21
1391-03-02,26912.7,2012-05-22
1391-03-03,27091.2,2012-05-23
1391-03-06,26909.5,2012-05-26
1391-03-07,26905.0,2012-05-27
1391-03-08,26848.7,2012-05-28
1391-03-09,26803.6,2012-05-29
1391-03-10,26755.9,2012-05-30
1391-03-13,26735.4,2012-06-02
1391-03-16,26693.0,2012-06-05
1391-03-17,26635.6,2012-06-06
1391-03-20,26365.2,2012-06-09
1391-03-21,26264.8,2012-06-10
1391-03-22,26411.8,2012-06-11
1391-03-23,26440.5,2012-06-12
1391-03-24,26439.1,2012-06-13
1391-03-27,26406.7,2012-06-16
1391-03-28,26325.5,2012-06-17
1391-03-30,26291.8,2012-06-19
1391-03-31,26165.9,2012-06-20
1391-04-03,25938.1,2012-06-23
1391-04-04,25681.1,2012-06-24
1391-04-05,25558.4,2012-06-25
1391-04-06,25325.0,2012-06-26
1391-04-07,25054.6,2012-06-27
1391-04-10,25170.7,2012-06-30
1391-04-11,25227.2,2012-07-01
1391-04-12,25345.5,2012-07-02
1391-04-13,25438.0,2012-07-03
1391-04-14,25428.5,2012-07-04
1391-04-17,25445.5,2012-07-07
1391-04-18,25354.3,2012-07-08
1391-04-19,25279.2,2012-07-09
1391-04-20,25307.5,2012-07-10
1391-04-21,25388.1,2012-07-11
1391-04-24,25431.5,2012-07-14
1391-04-25,25296.1,2012-07-15
1391-04-26,25159.7,2012-07-16
1391-04-27,25021.3,2012-07-17
1391-04-28,25039.2,2012-07-18
1391-04-31,25021.2,2012-07-21
1391-05-01,24996.0,2012-07-22
1391-05-02,25029.5,2012-07-23
1391-05-03,25094.3,2012-07-24
1391-05-04,25088.8,2012-07-25
1391-05-07,25023.3,2012-07-28
1391-05-08,24747.4,2012-07-29
1391-05-09,24550.4,2012-07-30
1391-05-10,24584.0,2012-07-31
1391-05-11,24546.7,2012-08-01
1391-05-14,24332.6,2012-08-04
1391-05-15,24108.5,2012-08-05
1391-05-16,24001.0,2012-08-06
1391-05-17,23855.1,2012-08-07
1391-05-18,23787.3,2012-08-08
1391-05-21,23957.2,2012-08-11
1391-05-22,24024.2,2012-08-12
1391-05-23,24049.7,2012-08-13
1391-05-24,24102.1,2012-08-14
1391-05-25,24125.3,2012-08-15
1391-05-28,24144.7,2012-08-18
1391-05-31,24279.1,2012-08-21
1391-06-01,24339.2,2012-08-22
1391-06-04,24523.2,2012-08-25
1391-06-05,24586.5,2012-08-26
1391-06-06,24649.0,2012-08-27
1391-06-12,24730.1,2012-09-02
1391-06-13,25055.0,2012-09-03
1391-06-14,25384.0,2012-09-04
1391-06-15,25659.9,2012-09-05
1391-06-18,25791.9,2012-09-08
1391-06-19,25569.2,2012-09-09
1391-06-20,25735.1,2012-09-10
1391-06-21,25889.2,2012-09-11
1391-06-25,26283.7,2012-09-15
1391-06-26,26217.2,2012-09-16
1391-06-27,26470.6,2012-09-17
1391-06-28,26556.9,2012-09-18
1391-06-29,26514.5,2012-09-19
1391-07-01,26875.3,2012-09-22
1391-07-02,27127.1,2012-09-23
1391-07-03,27080.7,2012-09-24
1391-07-04,27440.1,2012-09-25
1391-07-05,28132.2,2012-09-26
1391-07-08,28828.7,2012-09-29
1391-07-09,29207.1,2012-09-30
1391-07-10,28788.8,2012-10-01
1391-07-11,28667.1,2012-10-02
1391-07-12,29098.5,2012-10-03
1391-07-15,28862.9,2012-10-06
1391-07-16,28858.6,2012-10-07
1391-07-17,29014.1,2012-10-08
1391-07-18,29032.5,2012-10-09
1391-07-19,28845.7,2012-10-10
1391-07-22,28557.9,2012-10-13
1391-07-23,28656.1,2012-10-14
1391-07-24,28981.3,2012-10-15
1391-07-25,29248.2,2012-10-16
1391-07-26,29502.0,2012-10-17
1391-07-29,29992.6,2012-10-20
1391-07-30,30211.4,2012-10-21
1391-08-01,30671.6,2012-10-22
1391-08-02,30615.7,2012-10-23
1391-08-03,30749.3,2012-10-24
1391-08-06,31121.7,2012-10-27
1391-08-07,31160.1,2012-10-28
1391-08-08,31221.5,2012-10-29
1391-08-09,31331.6,2012-10-30
1391-08-10,31082.4,2012-10-31
1391-08-14,31205.2,2012-11-04
1391-08-15,30736.6,2012-11-05
1391-08-16,30940.3,2012-11-06
1391-08-17,31282.9,2012-11-07
1391-08-20,31220.1,2012-11-10
1391-08-21,31015.6,2012-11-11
1391-08-22,30978.8,2012-11-12
1391-08-23,31215.0,2012-11-13
1391-08-24,31336.4,2012-11-14
1391-08-27,31260.3,2012-11-17
1391-08-28,31271.2,2012-11-18
1391-08-29,31096.5,2012-11-19
1391-08-30,31140.9,2012-11-20
1391-09-01,31259.5,2012-11-21
1391-09-06,31608.9,2012-11-26
1391-09-07,32018.1,2012-11-27
1391-09-08,32339.5,2012-11-28
1391-09-11,32741.5,2012-12-01
1391-09-12,33113.5,2012-12-02
1391-09-13,33015.7,2012-12-03
1391-09-14,33073.4,2012-12-04
1391-09-15,33282.0,2012-12-05
1391-09-18,33659.9,2012-12-08
1391-09-19,33612.6,2012-12-09
1391-09-20,33760.8,2012-12-10
1391-09-21,33889.4,2012-12-11
1391-09-22,33687.0,2012-12-12
1391-09-25,33949.3,2012-12-15
1391-09-26,34090.9,2012-12-16
1391-09-27,34669.5,2012-12-17
1391-09-28,35106.2,2012-12-18
1391-09-29,35760.3,2012-12-19
1391-10-02,36040.5,2012-12-22
1391-10-03,36829.3,2012-12-23
1391-10-04,37530.7,2012-12-24
1391-10-05,37366.4,2012-12-25
1391-10-06,37798.8,2012-12-26
1391-10-09,37622.4,2012-12-29
1391-10-10,37116.3,2012-12-30
1391-10-11,37860.6,2012-12-31
1391-10-12,37987.0,2013-01-01
1391-10-13,37648.5,2013-01-02
1391-10-17,37059.0,2013-01-06
1391-10-18,37077.0,2013-01-07
1391-10-19,37314.9,2013-01-08
1391-10-20,37441.5,2013-01-09
1391-10-24,37786.2,2013-01-13
1391-10-25,38082.8,2013-01-14
1391-10-26,38322.5,2013-01-15
1391-10-27,38343.6,2013-01-16
1391-10-30,37898.8,2013-01-19
1391-11-01,37627.5,2013-01-20
1391-11-02,37284.0,2013-01-21
1391-11-03,36594.0,2013-01-22
1391-11-04,37233.7,2013-01-23
1391-11-07,37409.4,2013-01-26
1391-11-08,36723.3,2013-01-27
1391-11-09,36674.7,2013-01-28
1391-11-11,36554.9,2013-01-30
1391-11-14,36801.4,2013-02-02
1391-11-15,36761.1,2013-02-03
1391-11-16,36447.0,2013-02-04
1391-11-17,36505.6,2013-02-05
1391-11-18,36913.3,2013-02-06
1391-11-21,38205.4,2013-02-09
1391-11-23,38394.3,2013-02-11
1391-11-24,38640.1,2013-02-12
1391-11-25,38611.4,2013-02-13
1391-11-28,38655.0,2013-02-16
1391-11-29,38710.3,2013-02-17
1391-11-30,38739.4,2013-02-18
1391-12-01,38550.8,2013-02-19
1391-12-02,38479.2,2013-02-20
1391-12-05,38325.8,2013-02-23
1391-12-06,37931.1,2013-02-24
1391-12-07,37350.6,2013-02-25
1391-12-08,37573.7,2013-02-26
1391-12-09,37811.6,2013-02-27
1391-12-12,37437.2,2013-03-02
1391-12-13,37156.1,2013-03-03
1391-12-14,37135.9,2013-03-04
1391-12-15,36950.6,2013-03-05
1391-12-16,36925.1,2013-03-06
1391-12-19,36585.5,2013-03-09
1391-12-20,37101.0,2013-03-10
1391-12-21,37193.6,2013-03-11
1391-12-22,37268.4,2013-03-12
1391-12-23,37998.7,2013-03-13
1391-12-26,37854.8,2013-03-16
1391-12-27,37516.1,2013-03-17
1391-12-28,38040.8,2013-03-18
1392-01-05,38602.6,2013-03-25
1392-01-06,39351.1,2013-03-26
1392-01-07,39741.8,2013-03-27
1392-01-10,39714.9,2013-03-30
1392-01-11,39990.2,2013-03-31
1392-01-14,40151.1,2013-04-03
1392-01-17,40134.3,2013-04-06
1392-01-18,39915.6,2013-04-07
1392-01-19,40068.0,2013-04-08
1392-01-20,40606.6,2013-04-09
1392-01-21,40533.0,2013-04-10
1392-01-24,40255.1,2013-04-13
1392-01-26,40621.0,2013-04-15
1392-01-27,40834.9,2013-04-16
1392-01-28,40747.6,2013-04-17
1392-01-31,40550.8,2013-04-20
1392-02-01,40506.0,2013-04-21
1392-02-02,41133.0,2013-04-22
1392-02-03,41583.8,2013-04-23
1392-02-04,42052.4,2013-04-24
1392-02-07,42334.2,2013-04-27
1392-02-08,42507.7,2013-04-28
1392-02-09,43192.3,2013-04-29
1392-02-10,43994.3,2013-04-30
1392-02-11,44537.1,2013-05-01
1392-02-14,44993.5,2013-05-04
1392-02-15,44897.9,2013-05-05
1392-02-16,44943.7,2013-05-06
1392-02-17,44707.4,2013-05-07
1392-02-18,44683.9,2013-05-08
1392-02-21,45091.4,2013-05-11
1392-02-22,45512.7,2013-05-12
1392-02-23,44963.3,2013-05-13
1392-02-24,44129.0,2013-05-14
1392-02-25,43864.3,2013-05-15
1392-02-28,43301.0,2013-05-18
1392-02-29,42795.5,2013-05-19
1392-02-30,43047.3,2013-05-20
1392-02-31,42855.7,2013-05-21
1392-03-01,42777.2,2013-05-22
1392-03-04,43485.2,2013-05-25
1392-03-05,43910.7,2013-05-26
1392-03-06,44107.4,2013-05-27
1392-03-07,44470.7,2013-05-28
1392-03-08,45162.2,2013-05-29
1392-03-11,44945.1,2013-06-01
1392-03-12,45247.8,2013-06-02
1392-03-13,45590.0,2013-06-03
1392-03-18,45488.2,2013-06-08
1392-03-19,45199.1,2013-06-09
1392-03-20,45206.5,2013-06-10
1392-03-21,45553.4,2013-06-11
1392-03-22,45671.9,2013-06-12
1392-03-25,46623.0,2013-06-15
1392-03-26,47817.9,2013-06-16
1392-03-27,48333.3,2013-06-17
1392-03-28,48783.0,2013-06-18
1392-03-29,48916.7,2013-06-19
1392-04-01,48539.3,2013-06-22
1392-04-02,48631.1,2013-06-23
1392-04-04,48634.0,2013-06-25
1392-04-05,49427.4,2013-06-26
1392-04-08,50471.1,2013-06-29
1392-04-09,51321.3,2013-06-30
1392-04-10,52244.1,2013-07-01
1392-04-11,51846.3,2013-07-02
1392-04-12,52735.2,2013-07-03
1392-04-15,54289.7,2013-07-06
1392-04-16,54768.6,2013-07-07
1392-04-17,54616.0,2013-07-08
1392-04-18,54534.2,2013-07-09
1392-04-19,55069.7,2013-07-10
1392-04-22,54744.0,2013-07-13
1392-04-23,54298.7,2013-07-14
1392-04-24,54509.3,2013-07-15
1392-04-25,54235.9,2013-07-16
1392-04-26,54433.6,2013-07-17
1392-04-29,54872.3,2013-07-20
1392-04-30,55101.0,2013-07-21
1392-04-31,55329.3,2013-07-22
1392-05-01,55942.4,2013-07-23
1392-05-02,56426.3,2013-07-24
1392-05-05,56290.3,2013-07-27
1392-05-06,56551.9,2013-07-28
1392-05-07,56400.2,2013-07-29
1392-05-09,57168.2,2013-07-31
1392-05-12,57397.2,2013-08-03
1392-05-13,57264.4,2013-08-04
1392-05-14,57415.9,2013-08-05
1392-05-15,57674.8,2013-08-06
1392-05-16,58142.6,2013-08-07
1392-05-20,58889.9,2013-08-11
1392-05-21,59608.5,2013-08-12
1392-05-22,59754.8,2013-08-13
1392-05-23,59610.2,2013-08-14
1392-05-26,60410.3,2013-08-17
1392-05-27,59938.6,2013-08-18
1392-05-28,60052.2,2013-08-19
1392-05-29,59568.0,2013-08-20
1392-05-30,59281.6,2013-08-21
1392-06-02,59552.8,2013-08-24
1392-06-03,61163.5,2013-08-25
1392-06-04,60675.7,2013-08-26
1392-06-05,60002.4,2013-08-27
1392-06-06,58727.3,2013-08-28
1392-06-09,58561.0,2013-08-31
1392-06-10,59057.0,2013-09-01
1392-06-12,58962.9,2013-09-03
1392-06-13,58146.1,2013-09-04
1392-06-16,57491.6,2013-09-07
1392-06-17,57198.1,2013-09-08
1392-06-18,57035.4,2013-09-09
1392-06-19,58190.4,2013-09-10
1392-06-20,59164.6,2013-09-11
1392-06-23,59117.4,2013-09-14
1392-06-24,59401.5,2013-09-15
1392-06-25,59347.7,2013-09-16
1392-06-26,60056.4,2013-09-17
1392-06-27,60964.1,2013-09-18
1392-06-30,62053.2,2013-09-21
1392-06-31,61707.2,2013-09-22
1392-07-01,62904.8,2013-09-23
1392-07-02,63010.2,2013-09-24
1392-07-03,63455.3,2013-09-25
1392-07-06,64695.4,2013-09-28
1392-07-07,65328.8,2013-09-29
1392-07-08,65720.0,2013-09-30
1392-07-09,66350.0,2013-10-01
1392-07-10,66506.3,2013-10-02
1392-07-13,66662.5,2013-10-05
1392-07-14,66997.7,2013-10-06
1392-07-15,67019.0,2013-10-07
1392-07-16,67505.3,2013-10-08
1392-07-17,68461.5,2013-10-09
1392-07-20,69703.5,2013-10-12
1392-07-21,70951.5,2013-10-13
1392-07-22,71471.8,2013-10-14
1392-07-23,72766.5,2013-10-15
1392-07-27,74400.2,2013-10-19
1392-07-28,73335.6,2013-10-20
1392-07-29,73636.1,2013-10-21
1392-07-30,72997.7,2013-10-22
1392-08-01,73030.7,2013-10-23
1392-08-04,73549.8,2013-10-26
1392-08-05,72201.0,2013-10-27
1392-08-06,72215.0,2013-10-28
1392-08-07,73167.4,2013-10-29
1392-08-08,73553.2,2013-10-30
1392-08-11,73504.8,2013-11-02
1392-08-12,73766.2,2013-11-03
1392-08-13,73733.6,2013-11-04
1392-08-14,74438.1,2013-11-05
1392-08-15,75868.9,2013-11-06
1392-08-18,76959.9,2013-11-09
1392-08-19,77118.9,2013-11-10
1392-08-20,76895.9,2013-11-11
1392-08-21,76932.9,2013-11-12
1392-08-25,77673.0,2013-11-16
1392-08-26,77214.2,2013-11-17
1392-08-27,77328.1,2013-11-18
1392-08-28,78142.0,2013-11-19
1392-08-29,78424.1,2013-11-20
1392-09-02,78874.5,2013-11-23
1392-09-03,80022.2,2013-11-24
1392-09-04,81186.8,2013-11-25
1392-09-05,81549.5,2013-11-26
1392-09-06,82129.8,2013-11-27
1392-09-09,83572.5,2013-11-30
1392-09-10,84384.9,2013-12-01
1392-09-11,83706.5,2013-12-02
1392-09-12,83775.6,2013-12-03
1392-09-13,84211.4,2013-12-04
1392-09-16,84659.4,2013-12-07
1392-09-17,85149.9,2013-12-08
1392-09-18,85310.4,2013-12-09
1392-09-19,85962.2,2013-12-10
1392-09-20,86511.2,2013-12-11
1392-09-23,85691.1,2013-12-14
1392-09-24,87024.1,2013-12-15
1392-09-25,88112.5,2013-12-16
1392-09-26,87646.1,2013-12-17
1392-09-27,87726.2,2013-12-18
1392-09-30,86957.1,2013-12-21
1392-10-01,87015.5,2013-12-22
1392-10-03,88113.7,2013-12-24
1392-10-04,88190.7,2013-12-25
1392-10-07,87691.7,2013-12-28
1392-10-08,87425.2,2013-12-29
1392-10-09,87451.9,2013-12-30
1392-10-11,88313.4,2014-01-01
1392-10-14,88926.7,2014-01-04
1392-10-15,89500.6,2014-01-05
1392-10-16,89355.7,2014-01-06
1392-10-17,88749.3,2014-01-07
1392-10-18,88069.0,2014-01-08
1392-10-21,87792.7,2014-01-11
1392-10-22,85404.1,2014-01-12
1392-10-23,87112.9,2014-01-13
1392-10-24,87102.6,2014-01-14
1392-10-25,85700.6,2014-01-15
1392-10-28,84973.2,2014-01-18
1392-10-30,83641.5,2014-01-20
1392-11-01,83252.4,2014-01-21
1392-11-02,82028.8,2014-01-22
1392-11-05,82670.3,2014-01-25
1392-11-06,81905.6,2014-01-26
1392-11-07,80861.4,2014-01-27
1392-11-08,81644.4,2014-01-28
1392-11-09,82797.7,2014-01-29
1392-11-12,84164.7,2014-02-01
1392-11-13,83606.5,2014-02-02
1392-11-14,83165.0,2014-02-03
1392-11-15,83170.6,2014-02-04
1392-11-16,82214.3,2014-02-05
1392-11-19,81066.8,2014-02-08
1392-11-20,80949.5,2014-02-09
1392-11-21,80240.3,2014-02-10
1392-11-23,79136.6,2014-02-12
1392-11-26,79153.1,2014-02-15
1392-11-27,79769.2,2014-02-16
1392-11-28,80603.0,2014-02-17
1392-11-29,80435.7,2014-02-18
1392-11-30,80986.5,2014-02-19
1392-12-03,81325.0,2014-02-22
1392-12-04,81281.6,2014-02-23
1392-12-05,80849.8,2014-02-24
1392-12-06,80087.4,2014-02-25
1392-12-07,79785.5,2014-02-26
1392-12-10,80105.0,2014-03-01
1392-12-11,79584.1,2014-03-02
1392-12-12,78518.8,2014-03-03
1392-12-13,78072.6,2014-03-04
1392-12-14,78447.2,2014-03-05
1392-12-17,78231.0,2014-03-08
1392-12-18,77515.6,2014-03-09
1392-12-19,77219.5,2014-03-10
1392-12-20,76582.7,2014-03-11
1392-12-21,76583.4,2014-03-12
1392-12-24,77191.3,2014-03-15
1392-12-25,77816.2,2014-03-16
1392-12-26,78430.8,2014-03-17
1392-12-27,78968.1,2014-03-18
1392-12-28,79015.4,2014-03-19
1393-01-05,79013.5,2014-03-25
1393-01-06,78619.4,2014-03-26
1393-01-09,78239.7,2014-03-29
1393-01-10,78469.2,2014-03-30
1393-01-11,78741.3,2014-03-31
1393-01-16,78547.7,2014-04-05
1393-01-17,77634.7,2014-04-06
1393-01-18,77418.6,2014-04-07
1393-01-19,77817.5,2014-04-08
1393-01-20,77423.9,2014-04-09
1393-01-23,76501.8,2014-04-12
1393-01-24,74920.7,2014-04-13
1393-01-25,73973.4,2014-04-14
1393-01-26,73847.6,2014-04-15
1393-01-27,74161.2,2014-04-16
1393-01-30,73637.8,2014-04-19
1393-01-31,74160.0,2014-04-20
1393-02-01,75035.3,2014-04-21
1393-02-02,75735.2,2014-04-22
1393-02-03,75980.5,2014-04-23
1393-02-06,77404.1,2014-04-26
1393-02-07,77923.6,2014-04-27
1393-02-08,78131.1,2014-04-28
1393-02-09,78151.3,2014-04-29
1393-02-10,78164.3,2014-04-30
1393-02-13,77939.0,2014-05-03
1393-02-14,77569.2,2014-05-04
1393-02-15,77763.8,2014-05-05
1393-02-16,77717.3,2014-05-06
1393-02-17,77752.4,2014-05-07
1393-02-20,77931.0,2014-05-10
1393-02-21,77734.2,2014-05-11
1393-02-22,77596.4,2014-05-12
1393-02-24,77610.2,2014-05-14
1393-02-27,76901.8,2014-05-17
1393-02-28,76987.5,2014-05-18
1393-02-29,76528.9,2014-05-19
1393-02-30,76634.4,2014-05-20
1393-02-31,76767.6,2014-05-21
1393-03-03,76703.9,2014-05-24
1393-03-04,76394.2,2014-05-25
1393-03-05,76212.0,2014-05-26
1393-03-07,76067.8,2014-05-28
1393-03-10,75687.1,2014-05-31
1393-03-11,74543.4,2014-06-01
1393-03-12,74735.9,2014-06-02
1393-03-13,75102.8,2014-06-03
1393-03-17,75329.5,2014-06-07
1393-03-18,75353.5,2014-06-08
1393-03-19,75240.5,2014-06-09
1393-03-20,74836.7,2014-06-10
1393-03-21,74499.1,2014-06-11
1393-03-24,73516.0,2014-06-14
1393-03-25,72631.8,2014-06-15
1393-03-26,72748.8,2014-06-16
1393-03-27,72638.0,2014-06-17
1393-03-28,72873.1,2014-06-18
1393-03-31,72969.0,2014-06-21
1393-04-01,72900.8,2014-06-22
1393-04-02,72544.9,2014-06-23
1393-04-03,72344.4,2014-06-24
1393-04-04,72249.9,2014-06-25
1393-04-07,71662.0,2014-06-28
1393-04-08,70970.3,2014-06-29
1393-04-09,70341.5,2014-06-30
1393-04-10,70423.0,2014-07-01
1393-04-11,70876.6,2014-07-02
1393-04-14,72162.2,2014-07-05
1393-04-15,71960.2,2014-07-06
1393-04-16,71916.6,2014-07-07
1393-04-17,73025.0,2014-07-08
1393-04-18,73416.4,2014-07-09
1393-04-21,73555.9,2014-07-12
1393-04-22,73226.2,2014-07-13
1393-04-23,73347.4,2014-07-14
1393-04-24,73457.9,2014-07-15
1393-04-25,73754.2,2014-07-16
1393-04-29,73750.2,2014-07-20
1393-04-30,73890.5,2014-07-21
1393-04-31,74526.1,2014-07-22
1393-05-01,74841.6,2014-07-23
1393-05-04,74840.3,2014-07-26
1393-05-05,74848.0,2014-07-27
1393-05-06,74997.6,2014-07-28
1393-05-11,74841.0,2014-08-02
1393-05-12,74637.4,2014-08-03
1393-05-13,74709.2,2014-08-04
1393-05-14,74697.5,2014-08-05
1393-05-15,74613.8,2014-08-06
1393-05-18,74398.6,2014-08-09
1393-05-19,74398.9,2014-08-10
1393-05-20,74547.5,2014-08-11
1393-05-21,74455.1,2014-08-12
1393-05-22,74363.0,2014-08-13
1393-05-25,74051.0,2014-08-16
1393-05-26,73952.6,2014-08-17
1393-05-27,73906.8,2014-08-18
1393-05-28,73902.6,2014-08-19
1393-05-29,73905.7,2014-08-20
1393-06-01,73868.0,2014-08-23
1393-06-02,73529.5,2014-08-24
1393-06-03,73499.9,2014-08-25
1393-06-04,73540.9,2014-08-26
1393-06-05,73312.2,2014-08-27
1393-06-08,72941.8,2014-08-30
1393-06-09,72778.4,2014-08-31
1393-06-10,72339.8,2014-09-01
1393-06-11,72232.4,2014-09-02
1393-06-12,72121.5,2014-09-03
1393-06-15,71822.4,2014-09-06
1393-06-16,71665.4,2014-09-07
1393-06-17,71815.2,2014-09-08
1393-06-18,71930.1,2014-09-09
1393-06-19,71925.4,2014-09-10
1393-06-22,71486.0,2014-09-13
1393-06-23,71386.7,2014-09-14
1393-06-24,71402.3,2014-09-15
1393-06-25,71408.3,2014-09-16
1393-06-26,71443.6,2014-09-17
1393-06-29,71445.0,2014-09-20
1393-06-30,71545.3,2014-09-21
1393-06-31,71685.8,2014-09-22
1393-07-01,71726.5,2014-09-23
1393-07-02,71788.1,2014-09-24
1393-07-05,71702.2,2014-09-27
1393-07-06,71643.7,2014-09-28
1393-07-07,71675.2,2014-09-29
1393-07-08,71664.0,2014-09-30
1393-07-09,71640.5,2014-10-01
1393-07-12,71670.1,2014-10-04
1393-07-14,71821.5,2014-10-06
1393-07-15,71718.9,2014-10-07
1393-07-16,71783.7,2014-10-08
1393-07-19,71771.7,2014-10-11
1393-07-20,71791.5,2014-10-12
1393-07-22,71893.1,2014-10-14
1393-07-23,71978.6,2014-10-15
1393-07-26,72016.5,2014-10-18
1393-07-27,72281.0,2014-10-19
1393-07-28,73550.4,2014-10-20
1393-07-29,74109.1,2014-10-21
1393-07-30,74132.8,2014-10-22
1393-08-03,74152.0,2014-10-25
1393-08-04,73940.8,2014-10-26
1393-08-05,73958.9,2014-10-27
1393-08-06,73967.8,2014-10-28
1393-08-07,74151.1,2014-10-29
1393-08-10,75028.0,2014-11-01
1393-08-11,75368.6,2014-11-02
1393-08-14,76166.6,2014-11-05
1393-08-17,76420.5,2014-11-08
1393-08-18,76553.4,2014-11-09
1393-08-19,76560.8,2014-11-10
1393-08-20,76708.0,2014-11-11
1393-08-21,76589.4,2014-11-12
1393-08-24,75946.5,2014-11-15
1393-08-25,75930.8,2014-11-16
1393-08-26,75965.9,2014-11-17
1393-08-27,75409.4,2014-11-18
1393-08-28,75248.4,2014-11-19
1393-09-01,75042.6,2014-11-22
1393-09-02,75389.6,2014-11-23
1393-09-03,75949.0,2014-11-24
1393-09-04,74740.9,2014-11-25
1393-09-05,74076.1,2014-11-26
1393-09-08,73245.1,2014-11-29
1393-09-09,72189.5,2014-11-30
1393-09-10,72120.7,2014-12-01
1393-09-11,72258.5,2014-12-02
1393-09-12,71860.2,2014-12-03
1393-09-15,71712.0,2014-12-06
1393-09-16,71170.0,2014-12-07
1393-09-17,71376.6,2014-12-08
1393-09-18,71381.7,2014-12-09
1393-09-19,71043.0,2014-12-10
1393-09-23,70291.6,2014-12-14
1393-09-24,69542.6,2014-12-15
1393-09-25,69608.6,2014-12-16
1393-09-26,69494.8,2014-12-17
1393-09-29,69537.5,2014-12-20
1393-10-01,70094.4,2014-12-22
1393-10-03,70153.5,2014-12-24
1393-10-06,69705.0,2014-12-27
1393-10-07,69625.5,2014-12-28
1393-10-08,69424.0,2014-12-29
1393-10-09,69254.5,2014-12-30
1393-10-10,68973.1,2014-12-31
1393-10-13,68829.9,2015-01-03
1393-10-14,68650.6,2015-01-04
1393-10-15,68232.1,2015-01-05
1393-10-16,67471.0,2015-01-06
