,date,individual_buy_count,corporate_buy_count,individual_sell_count,corporate_sell_count,individual_buy_vol,corporate_buy_vol,individual_sell_vol,corporate_sell_vol,individual_buy_value,corporate_buy_value,individual_sell_value,corporate_sell_value,individual_buy_mean_price,individual_sell_mean_price,corporate_buy_mean_price,corporate_sell_mean_price,individual_ownership_change
29,20220705,2043,13,1864,25,32603349,27615278,29698690,30519937,358122122830,303024522940,326040111060,335106534710,10984.212782251296,10978.265743707887,10973.075228140016,10979.922229524916,2904659.0
30,20220704,1547,3,1250,16,17086672,10774517,17303341,10557848,184807069450,116192842400,186977988280,114021923570,10815.861008510024,10805.889352813425,10784.041864707253,10799.731495471426,-216669.0
31,20220703,1424,8,1439,10,15298548,13746203,24881337,4163414,165086209410,148577402990,268644477730,45019134670,10790.972411891638,10797.027415769498,10808.61405800569,10813.033407198996,-9582789.0
32,20220702,1721,5,1548,12,23916161,16172332,27957769,12130724,258754335090,175238727870,303156535730,130836527230,10819.225338464648,10843.373651524196,10835.711749548549,10785.549752018098,-4041608.0
33,20220629,1167,7,1334,9,16504441,19829574,24291984,12042031,180594211310,216913484380,265776634000,131731061690,10942.158617186731,10940.919193755439,10938.887763297385,10939.272759719684,-7787543.0
34,20220628,1763,14,1398,19,18258634,26570879,29176198,15653315,199672451790,290430150450,318920522310,171182079930,10935.782588664628,10930.845832277393,10930.393023505168,10935.8356316218,-10917564.0
35,20220627,2372,19,1755,30,27160496,57496089,48048525,36608060,295461392550,626133894170,522824087600,398771199120,10878.350400891059,10881.168310577692,10890.025827148,10892.98911551172,-20888029.0
36,20220626,2272,17,1725,27,24846178,51470418,49850800,26465796,270792651120,560485283610,543213259060,288064675670,10898.76483699022,10896.78117622987,10889.46438340563,10884.413817366385,-25004622.0
37,20220625,2732,16,2107,24,31135213,49530229,53148040,27517402,347227867770,551929147700,592721179860,306435835610,11152.256057153038,11152.267889088665,11143.278737919827,11136.074387036973,-22012827.0
38,20220622,1318,15,1523,13,11565941,31472121,31270297,11767765,132020752970,360382483130,357465095400,134938140700,11414.614078525907,11431.458274924604,11450.84829617934,11466.760315149053,-19704356.0
39,20220621,1267,12,1462,17,18089280,24567351,25239406,17417225,208743438100,283753562170,291357320060,201139680210,11539.621151311716,11543.747109579363,11550.02678839896,11548.319563535522,-7150126.0
